现实编号,数据编号,站编号,站名称
1号线,1,3,苹果园
1号线,1,4,古城路
1号线,1,5,八角游乐园
1号线,1,6,八宝山
1号线,1,7,玉泉路
1号线,1,8,五棵松
1号线,1,9,万寿路
1号线,1,10,公主坟
1号线,1,11,军事博物馆
1号线,1,12,木樨地
1号线,1,13,南礼士路
1号线,1,14,复兴门
1号线,1,15,西单
1号线,1,16,天安门西
1号线,1,17,天安门东
1号线,1,18,王府井
1号线,1,19,东单
1号线,1,20,建国门
1号线,1,21,永安里
1号线,1,22,国贸
1号线,1,23,大望路
1号线,1,24,四惠
1号线,1,25,四惠东
2号线,2,1,西直门
2号线,2,2,车公庄
2号线,2,3,阜成门
2号线,2,4,复兴门
2号线,2,5,长椿街
2号线,2,6,宣武门
2号线,2,7,和平门
2号线,2,8,前门
2号线,2,9,崇文门
2号线,2,10,北京站
2号线,2,11,建国门
2号线,2,12,朝阳门
2号线,2,13,东四十条
2号线,2,14,东直门
2号线,2,15,雍和宫
2号线,2,16,安定门
2号线,2,17,鼓楼大街
2号线,2,18,积水潭
4号线,4,21,安河桥北
4号线,4,23,北宫门
4号线,4,25,西苑
4号线,4,27,圆明园
4号线,4,29,北京大学东门
4号线,4,31,中关村
4号线,4,33,海淀黄庄
4号线,4,35,人民大学
4号线,4,37,魏公村
4号线,4,39,国家图书馆
4号线,4,41,动物园
4号线,4,43,西直门
4号线,4,45,新街口
4号线,4,47,平安里
4号线,4,49,西四
4号线,4,51,灵境胡同
4号线,4,53,西单
4号线,4,55,宣武门
4号线,4,57,菜市口
4号线,4,59,陶然亭
4号线,4,61,北京南站
4号线,4,63,马家堡
4号线,4,65,角门西
4号线,4,67,公益西桥
5号线,5,21,天通苑北
5号线,5,23,天通苑
5号线,5,25,天通苑南
5号线,5,27,立水桥
5号线,5,29,立水桥南
5号线,5,31,北苑路北
5号线,5,33,大屯路东
5号线,5,35,惠新西街北口
5号线,5,37,惠新西街南口
5号线,5,39,和平西桥
5号线,5,41,和平里北街
5号线,5,43,雍和宫
5号线,5,45,北新桥
5号线,5,47,张自忠路
5号线,5,49,东四
5号线,5,51,灯市口
5号线,5,53,东单
5号线,5,55,崇文门
5号线,5,57,磁器口
5号线,5,59,天坛东门
5号线,5,61,蒲黄榆
5号线,5,63,刘家窑
5号线,5,65,宋家庄
6号线,6,21,海淀五路居
6号线,6,23,慈寿寺
6号线,6,25,花园桥
6号线,6,27,白石桥南
6号线,6,31,车公庄西
6号线,6,33,车公庄
6号线,6,35,平安里
6号线,6,37,北海北
6号线,6,39,南锣鼓巷
6号线,6,41,东四
6号线,6,43,朝阳门
6号线,6,45,东大桥
6号线,6,47,呼家楼
6号线,6,49,金台路
6号线,6,51,十里堡
6号线,6,53,青年路
6号线,6,55,褡裢坡
6号线,6,57,黄渠
6号线,6,59,常营
6号线,6,61,草房
6号线,6,63,物资学院路
6号线,6,65,通州北关
6号线,6,69,北运河西
6号线,6,73,郝家府
6号线,6,75,东夏园
6号线,6,77,潞城
7号线,7,21,北京西站
